Title,Artist,ConstituentID,ArtistBio,Nationality,BeginDate,EndDate,Gender,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,ObjectID,URL,ThumbnailURL,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Seat Height (cm),Duration (sec.)
In-text plate (folio 11) from The Adventures of a Novel in Four Chapters,Bruce Conner,1215,"(American, 1933–2008)",(American),(1933),(2008),(Male),1991,One from an illustrated book with fourteen line blocks and one ink drawing,"composition (irreg.): 8 1/4 x 6 1/8"" (21 x 15.6 cm); page: 13 3/8 × 10 7/16"" (34 × 26.5 cm)",John B. Turner Fund,487.1992.6,Illustrated Book,Drawings & Prints,1992-11-04,Y,17933,http://www.moma.org/collection/works/17933,http://www.moma.org/media/W1siZiIsIjMzNzIzOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=69540cc26f7776d1,,,,21.0,,,15.6,,
QUAI D'ORLÉANS AU NUMEROS 20,Eugène Atget,229,"(French, 1857–1927)",(French),(1857),(1927),(Male),1914,Albumen silver print,,Abbott-Levy Collection. Partial gift of Shirley C. Burden,1.1969.4349,Photograph,Photography,1968-03-06,N,42600,,,,,,,,,,,
The Côte D'Azur Triangle,Mark Beard,411,"(American, born 1956)",(American),(1956),(0),(Male),1985,Illustrated book with fifteen lithographs and 1 aquatint,"irreg. page  13 15/16 x 12"" (35 x 30.5 cm)
Prints:  various dimensions.",Gift of Barbara Pine (through the Associates of the Department of Prints and Illustrated Books),22.1986.1-16,Illustrated Book,Drawings & Prints,1986-01-09,N,9576,,,,,,35.0,,,30.5,,
"""Hello My Name Is"" Dunny","Paul Budnitz, Tristan Eaton, Huck Gee","32733, 32734, 32744","(American, born 1967) (American, born 1978) (British, born 1973)",(American) (American) (British),(1967) (1978) (1973),(0) (0) (0),(Male) (Male) (Male),2006,Vinyl,"8 x 5 x 5 1/4"" (20.3 x 12.7 x 13.3 cm)",Gift of the manufacturer,331.2007,Design,Architecture & Design,2007-06-05,Y,109309,http://www.moma.org/collection/works/109309,,,,13.335,20.32,,,12.7,,
Poster of the French National Railroad,Album-miscellaneous,101,(Various),(),(0),(0),(),1900-1943,,,Gift of the French National Railroads,65.1943.347,Design,Architecture & Design,1943-02-18,N,163166,,,,,,,,,,,
Study,Germaine Krull,3268,"(Dutch, born Germany. 1897–1985)",(Dutch),(1897),(1985),(Female),1931,Gelatin silver print,"8 7/16 × 6 1/16"" (21.5 × 15.4 cm)",Thomas Walther Collection. Gift of Thomas Walther,1754.2001,Photograph,Photography,2001-12-13,Y,84027,http://www.moma.org/collection/works/84027,http://www.moma.org/media/W1siZiIsIjIwMzAwOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=3e04b466a37859dc,,,,21.5,,,15.4,,
FONTAINE DU MARCHÉ SAINT-GERMAIN,Eugène Atget,229,"(French, 1857–1927)",(French),(1857),(1927),(Male),n.d.,Albumen silver print,"Approx. 6 1/2 × 8 1/2"" (16.5 × 21.6 cm)",Abbott-Levy Collection. Partial gift of Shirley C. Burden,1.1969.3730,Photograph,Photography,1968-03-06,N,42130,,,,,,,,,,,
Edward Lear,David Hockney,2678,"(British, born 1937)",(British),(1937),(0),(Male),1964,Etching and aquatint,"Plate 19 5/8 x 15 7/8"" (49.8 x 40.4 cm) Sheet  24 x 19 3/4"" (61.0 x 50.1 cm)",Gift of the Associated American Artists,634.1964,Print,Drawings & Prints,1964-10-06,N,72240,,,,,,49.8,,,40.4,,
In-text plate (folio 5 verso) from VACILLATIONS,Pierre Alechinsky,107,"(Belgian, born 1927)",(Belgian),(1927),(0),(Male),1979,"Lithograph, printed in color","irreg. composition  11 7/8 x 8 11/16"" (30.1 x 22 cm)",Gift of the artist,19.1988.A06,Illustrated Book,Drawings & Prints,1988-01-19,N,9322,,,,,,30.1,,,22.0,,
Lighting Fixture,Harry Handler,2487,(American),(American),(0),(0),(Male),c. 1946,Aluminum with chrome-plated steel stem,"Overall: l. 28 1/4"" (71.7 cm), diam. 5 5/8"" (14.3 cm)",Gift of the manufacturer,94.1948.a-b,Design,Architecture & Design,1948-03-17,N,2083,,,,,14.3,,71.7,,,,
